Country,Cases,Fatalities,EI,SPI,Flight Count,Density,GDP,Healthcare Spending,Cluster
Jamaica,-0.43540484516605493,-0.32215519395976133,-0.20239386033339085,0.051224255881464016,-0.41509545002986503,0.5441715080746646,-0.7441286095304867,-0.619715701618137,1
Japan,-0.11189545029066394,-0.24360970208067279,0.842012975851637,1.239322335855857,1.809564728913641,0.8572926652465146,0.7261046743731854,0.8993854525603329,2
Jordan,-0.43341062523970725,-0.32215519395976133,-0.2949362382232028,-0.17569041548420397,-0.4069111284061208,-0.19118878528346783,-0.7393616339425442,-0.6627261426479709,1
Kazakhstan,-0.3774316988365828,-0.3184149324417095,0.6238773708256501,-0.2789705150758858,-0.3876394729094783,-0.6988246006984367,0.03217559252464757,-0.4439282591050529,1
Kenya,-0.43542830657695314,-0.32070064781385227,-1.2996820553125967,-1.3864045756611545,-0.40446399968913876,-0.29081824438360193,-1.0013670865845095,-0.7824659132649148,3
Kyrgyzstan,-0.42763911815874805,-0.3219474016532029,0.07523327333604714,-0.39657413212918885,-0.45586484340264655,-0.5754738418125565,-0.9816309166269528,-0.7972444081174814,1
Latvia,-0.42475336461826846,-0.3209084401204107,0.980826542686356,0.6422578185083194,-0.43091880229284696,-0.5944508816411533,0.115530838553064,-0.1366418096585756,1
Lebanon,-0.4272871969952749,-0.3186227247482679,-0.7840888070693555,-0.5217164425833442,-0.3899373928947685,2.365967331619973,-0.5014583662826063,-0.451716409908375,4
Lithuania,-0.40994921434149917,-0.3150902555367745,1.1064197698225304,0.7085983204358233,-0.41682700012257806,-0.5327755021982132,0.33343062921313066,-0.08714094486574311,1
Luxembourg,-0.3564571974935848,-0.3053240171285281,0.5247248230865658,1.1880592207300578,-0.43888326771535874,0.4160764892316351,3.6475033398287593,4.001850897926357,2
Malaysia,-0.3073993873054317,-0.3030383017563853,-0.06358029349867186,0.1710894809550229,0.3182049655980714,-0.2670969445978557,0.16672013715629783,-0.3977072942445295,1
Malta,-0.43338716382880904,-0.3227785708794366,0.6304875406749224,0.8088629426671646,-0.4044105049049782,5.895696739739009,0.6695246837499418,0.4185815463439019,4
Mauritius,-0.43610868749300113,-0.321531817040086,0.0487925939389578,0.22461420410107694,-0.4433453952644294,2.223639532905496,-0.15204351080378745,-0.3730662854871064,4
Mexico,-0.07961254889472964,-0.025635572500874157,-0.2552752191275688,-0.02943976350765984,0.6030738319903135,-0.4189132632266314,-0.31688285356441853,-0.44302789524657915,1
Morocco,-0.34728378583238545,-0.28994738644320384,-1.1608684884778777,-0.44180629253430487,-0.257206907410652,-0.3382608439550943,-0.781596146628241,-0.7145744756631437,1
Nepal,-0.4427248053662958,-0.32360974010567034,-1.464936301544405,-0.87980437912385,-0.4084303311984974,0.20732905111706845,-1.027652279078772,-0.8161877268393207,1
Netherlands,0.4533368610689647,0.6151959009253404,1.2121824874108877,1.237060727835601,0.1452342679432021,1.2083679020755584,1.276534425672536,1.382953166088672,2
New Zealand,-0.40940960189084036,-0.3196616862810601,1.3245553748485175,1.2838006269208884,-0.18228748673266415,-0.646637741169795,0.6673416762377063,1.1210309915111427,2
Nigeria,-0.4125768923620985,-0.31529804784333293,-1.5640888492834901,-1.7113222612379073,-0.39636836162042044,0.3259355500457995,-0.8857567907834721,-0.765281101406637,3
Norway,-0.26566153731751957,-0.28101231726119114,1.298114695451428,1.4360822336181136,-0.05534808156173947,-0.6513820011269442,1.6222960849063892,2.642206587031226,2
Oman,-0.39587236780257434,-0.321531817040086,0.06201293363750247,-0.21263001314838204,-0.3712362789023119,-0.6561262610840936,0.6933150105159355,-0.15294565035844349,1
Pakistan,-0.11747926608443746,-0.26293438659060725,-2.086292267376004,-1.7867091952464347,-0.25298540823473664,0.45403056888882903,-0.9012605992377153,-0.7850807746720995,3
Panama,-0.3026836437148919,-0.2889084249104117,-0.1693430110870292,0.15525822481323154,-0.4105868826280311,-0.4616116028409746,-0.05559021970195871,-0.15620393383116063,1
Papua New Guinea,-0.443757107445817,-0.32360974010567034,-1.9210380211441958,-2.5111776310683833,-0.45657470446512227,-0.6418934812126458,-0.9605582114578234,-0.7413160978319702,3
Paraguay,-0.4385955970482112,-0.3217396093466445,-0.5857837115911855,-0.3543574490844133,-0.4692777157835748,-0.646637741169795,-0.5640082141842079,-0.5922156006631343,1
Peru,0.22937423263467052,-0.16111615637697396,-0.20239386033339085,-0.04451715030936554,-0.24249313021894922,-0.6086836615126011,-0.5482370986876502,-0.5493580386233742,1
Philippines,-0.26148540617763855,-0.21742787145430992,-0.3676481065651985,-0.6408277983168179,0.14998380726267677,0.7861287658892759,-0.7755371870024448,-0.7182915550109386,1
Poland,-0.1647070862225303,-0.20683046381982972,0.9477756934399943,0.7048289737353971,-0.03623829686496633,-0.15797896558342314,0.18511977190228177,-0.21766618268244775,1
Portugal,0.11976252091824247,-0.13077847961944242,0.24048751956785547,1.1473502763654535,0.057161719054166615,-0.20542156515491555,0.3022893587834871,0.12355436389716812,1
Qatar,-0.1801446945935512,-0.321531817040086,-0.40730912566083244,-0.19076780228590862,-0.3682610609639869,0.44928630893167976,4.583345294971953,2.056372233428892,2
Romania,-0.17791586055822142,-0.19041487160171333,0.2603180291156725,0.2193371187204805,-0.24557466290607036,-0.3477493638693928,0.039704740883173696,-0.360374547565242,1
Senegal,-0.4266772003119215,-0.3217396093466445,-2.449851609085982,-1.0034389508978345,-0.45790277382913797,-0.3287723240407958,-0.9939715917471406,-0.7946425223306469,3
Serbia,-0.2883956444778832,-0.29763570178586596,0.39913159595039144,-0.02340880878697777,-0.408969450651712,-0.26235268464070644,-0.46051583763476306,-0.5673616986597779,1
Slovakia,-0.41154459028257734,-0.31986947858761855,0.6701485597705564,0.6430116878484051,-0.4527523180951608,-0.20542156515491555,0.29413649399289377,-0.045909610026995944,1
Slovenia,-0.41105190065371494,-0.30636297866132023,1.1262502793703475,1.0478395234741968,-0.4691431322314057,-0.2433756448121095,0.4730540076487571,0.22406540911119407,1
South Africa,-0.3314942562978914,-0.30490843251541117,-0.010698934704493195,-0.3362645849223671,-0.17784721106675633,-0.4995656824981685,-0.5454303747433475,-0.5725835507091331,1
Spain,4.938619012355687,4.563873102455286,0.6701485597705564,1.1737357032684377,1.9761920494171983,-0.29556250434075115,0.5911146180043443,0.44473820511912665,0
Sri Lanka,-0.4301494891248563,-0.32215519395976133,0.22065701002003846,-0.2118761438082964,-0.3867753971813801,0.8145943256321714,-0.5749678029191039,-0.6632482197371756,1
Sudan,-0.43749291073599544,-0.3190383093613848,-2.535783817126522,-2.2850168290428012,-0.4448928300518412,-0.6229164413840488,-0.9291050828121462,-0.7152135076164353,3
Sweden,8.586392648313788e-05,0.1489099650082115,1.2650638462050663,1.3230018326053223,-0.06386148199419255,-0.627660701341198,1.142123534562043,1.6114534718497446,2
Switzerland,0.24028378870233727,0.022364450314124398,1.1460807889181643,1.3561720835690743,0.11487007632859614,0.26426017060285933,1.8060251253239143,2.857176117846279,2
Thailand,-0.3751794033903548,-0.3128045401646317,-0.3808684462637431,-0.33400297690211117,0.8117081403365396,-0.08681506622618453,-0.3501180291588593,-0.5522711460621138,1
Tunisia,-0.42125761439443543,-0.3155058401498914,-0.42052946535937713,0.032377522379332155,-0.386880276405005,-0.390447703483736,-0.6162667409566999,-0.696399194155334,1
Turkey,2.1898566501107326,0.27898794891379197,-0.0701904633479442,-0.33249523822194094,0.6876344114908698,-0.21965434502636327,0.09949241601419179,-0.3703289737213896,1
Ukraine,-0.23258094795104622,-0.2778954326628146,0.4916739738402041,-0.3716964439063749,-0.2895756197505408,-0.390447703483736,-0.7604788902853925,-0.7391424688276215,1
United Arab Emirates,-0.18964656600732546,-0.30657077096787866,0.14133497182877047,-0.15533594330190081,0.16962186522248146,-0.17221174545487086,2.150316595825038,1.018043270238803,2
United Kingdom,3.242992462509496,4.059145589824847,1.2782841859036111,1.212183039612787,2.5964867334256114,0.5916141076461571,0.8532091729937477,0.9887277122329272,0
Uruguay,-0.42939872397611367,-0.32049285550729384,0.1479451416780428,0.4424824433857213,-0.4592757370957325,-0.6418934812126458,-0.14072751267913872,-0.06762467198875714,1
Uzbekistan,-0.3992742723828145,-0.3219474016532029,-0.030529444252310196,-0.9099591527272609,-0.43755365240115857,-0.37621492361228825,-0.8415174752804163,-0.7849768083917118,1
Zimbabwe,-0.44319403358425996,-0.3227785708794366,-1.0220549216431594,-1.9088360283402495,-0.46487908261708005,-0.5517525420268102,-1.0395919936354883,-0.7794869491407538,3
